user_id,date_from,date_to,origin,destination,is_booked,search_count,num_adults,num_children,num_days,geo_distance
000069,2017-05-10,2017-05-26,FRA,ALG,0,1,2,3,16,1553.7177250146456
00019d,2017-09-15,2017-10-13,PAR,SSA,0,1,4,0,28,7944.570036266748
0002e3,2017-05-01,2017-05-01,PAR,ATH,0,1,1,0,0,2095.4533044219033
000332,2017-06-08,2017-07-07,NCE,TLV,0,3,1,0,29,2722.329760403821
000332,2017-06-08,2017-07-07,TLV,NCE,0,1,2,0,29,2722.329760403821
0004e1,2017-07-19,2017-07-25,MUC,ROM,0,2,1,0,6,698.7883321065486
0004f1,2017-09-15,2017-10-05,LYS,YUL,0,1,2,0,20,5849.529555308376
0006d6,2017-04-30,2017-05-22,CDG,TLV,0,2,1,0,22,3271.5904716028554
000a42,2017-07-21,2017-07-26,BKK,HKT,0,1,1,0,5,670.7470141466125
000a72,2017-05-07,2017-06-17,LYS,ALG,0,1,1,0,41,1012.0534848070552
000bf6,2017-04-29,2017-04-29,BER,PAR,0,1,1,0,0,878.2992029098784
000c4e,2017-09-17,2017-10-04,DUS,OPO,0,1,1,2,17,1624.1006276538333
000fa9,2017-06-26,2017-06-30,TLS,VCE,0,1,2,0,4,886.5363420889433
00101a,2017-09-06,2017-09-14,YUL,TXL,0,1,1,0,8,6003.28047667111
001328,2017-05-13,2017-05-15,BER,MAD,0,2,2,0,2,1868.931836281277
001861,2018-02-08,2018-02-22,MUC,BKK,0,1,1,0,14,8794.589830490255
001a18,2017-05-05,2017-05-05,TLS,CAS,0,1,2,0,0,1361.0354960752352
001c62,2017-09-15,2017-09-15,PAR,OPO,0,1,1,0,0,1212.4711446876818
001d12,2017-12-15,2017-12-27,STR,AYT,0,1,2,0,12,2189.8235531182695
001e07,2017-08-06,2017-09-10,BER,ALA,0,1,1,0,35,4687.942822592376
001e67,2017-06-21,2017-06-23,DUS,VIE,0,1,2,0,2,782.8455640845343
001ec2,2017-07-20,2017-07-27,DUS,MIA,0,1,1,0,7,7601.564827247126
0026bc,2017-09-23,2017-09-28,AMS,HEL,0,1,2,0,5,1512.9253793978937
0026e2,2017-07-28,2017-08-11,PAR,NYC,0,1,1,0,14,5837.828025520125
00282c,2017-09-28,2017-10-19,LYS,DEL,0,1,1,0,21,6453.316962908431
00295c,2017-06-07,2017-06-09,MUC,ATH,0,1,1,0,2,1496.0458401508986
002d02,2017-07-12,2017-07-15,BER,PAR,0,2,2,0,3,878.2992029098784
002fc6,2017-07-06,2017-07-08,TLS,CDG,0,1,3,1,2,607.558903435327
003463,2017-05-01,2017-05-01,BER,VIE,0,1,1,0,0,537.8205741565705
00349c,2017-06-10,2017-06-12,DUS,BUD,0,1,1,0,2,995.5893183161571
00349c,2017-06-10,2017-06-13,DUS,BUD,0,1,1,0,3,995.5893183161571
0035d4,2018-02-08,2018-02-20,DUS,AGP,1,8,3,1,12,1839.9493958308658
0039c1,2017-05-09,2017-05-14,HAM,DUB,0,1,2,0,5,1075.2745319743876
003a33,2017-05-15,2017-05-24,PAR,SEL,0,1,1,0,9,8966.174170329861
003a33,2017-05-22,2017-05-29,PAR,SEL,0,1,1,0,7,8966.174170329861
003d9d,2017-07-25,2017-08-08,HAM,DXB,0,1,4,0,14,4884.427903177314
003da4,2017-11-12,2017-11-12,SFO,DUS,0,1,2,0,0,8966.73718446969
00412f,2018-01-18,2018-01-25,PAR,MCT,0,1,2,0,7,5589.754188388573
004204,2017-11-16,2017-11-30,HAM,SFO,0,1,4,1,14,8892.267938603432
004204,2017-11-30,2017-11-30,LAX,HAM,0,1,4,1,0,9074.36627029164
00447c,2017-06-30,2017-07-05,MRS,PAR,0,1,3,0,5,640.5227915734464
00456a,2017-05-08,2017-05-08,LYS,MUC,0,1,3,0,0,575.5958811797677
004671,2017-05-14,2017-05-15,DUS,MUC,1,3,1,0,1,486.1850217398799
004ce9,2018-04-21,2018-04-26,HAM,PAR,0,1,2,2,5,748.9053904224791
00549c,2017-05-14,2017-05-19,FRA,BKK,0,1,2,0,5,8966.898802410986
005528,2017-05-11,2017-06-15,FRA,SHA,0,1,1,0,35,8819.186356766311
005528,2017-06-11,2017-07-10,FRA,JKT,0,1,1,0,29,11127.825745597638
0056df,2017-05-16,2017-05-20,BER,SXF,0,1,1,0,4,17.260088531200346
005caa,2017-09-30,2017-10-14,STR,BCN,0,1,6,0,14,988.4911048885755
005e14,2017-05-07,2017-05-20,PAR,YMQ,1,2,1,0,13,5506.315396348216
005f09,2017-07-01,2017-07-07,VIE,BER,0,2,1,0,6,537.8205741565705
0067dd,2017-06-22,2017-06-27,PAR,ROM,0,1,2,0,5,1106.7371573716223
0069a3,2017-06-14,2017-06-19,CDG,JFK,0,1,1,0,5,5833.833754340766
006a86,2017-07-19,2017-07-21,FRA,IST,0,1,1,0,2,1865.802107460031
006d05,2017-08-27,2017-08-31,DUS,FCO,0,1,1,0,4,1128.2615545779236
006dd0,2017-05-03,2017-05-10,NCE,GVA,0,1,1,0,7,299.8785050844927
006e28,2017-06-04,2017-06-05,DUS,BCN,0,1,1,0,1,1148.6238044659378
006e35,2017-08-23,2017-08-31,HAM,TXL,1,1,1,0,8,246.1232823713962
006f4c,2017-05-20,2017-05-28,BKK,HKT,0,1,2,0,8,670.7470141466125
007166,2017-09-27,2017-10-11,ORY,LAX,0,1,2,1,14,9095.698445717446
007166,2017-09-28,2017-10-12,ORY,LAX,0,1,2,1,14,9095.698445717446
0072ce,2017-07-27,2017-08-04,FRA,VCE,0,1,2,0,8,587.3542670261129
0074c4,2017-05-16,2017-05-20,FRA,IST,0,1,1,0,4,1865.802107460031
007667,2017-07-12,2017-08-09,MUC,LON,0,2,1,0,28,920.6904735627807
0076ec,2017-09-03,2017-09-03,FRA,CAS,0,1,1,0,0,2269.358577557051
007802,2017-08-20,2017-09-09,FRA,PEK,0,1,1,0,20,7774.976300954468
007988,2017-10-14,2017-10-25,STR,PMI,0,1,4,2,11,1147.0448811174474
0079c6,2017-04-27,2017-05-12,TXL,MUC,0,1,1,0,15,506.197487315341
007b67,2017-06-07,2017-06-10,FRA,FCO,0,2,1,0,3,966.1964342818721
007c25,2017-05-30,2017-06-07,LIS,FRA,0,1,1,0,8,1890.4890315104547
00830e,2017-12-09,2017-12-31,FRA,EZE,0,1,1,0,22,11514.742603016986
0083aa,2017-05-19,2017-05-23,MUC,PAR,0,1,2,1,4,684.2700631228574
00881e,2017-08-26,2017-09-29,BER,MAD,0,1,2,1,34,1868.931836281277
00896e,2017-11-28,2017-12-12,PAR,MEL,0,1,2,0,14,16791.113545537413
00896e,2017-11-28,2017-12-12,PAR,SYD,0,1,2,0,14,16965.028917526077
008f7b,2018-01-12,2018-01-29,MUC,SIN,0,1,2,0,17,10069.086636981241
00927d,2017-05-01,2017-05-02,BER,GVA,0,1,1,0,1,874.794931283655
009951,2017-05-09,2017-05-12,FRA,EDI,0,2,2,0,3,1031.6874754784264
009aee,2017-06-11,2017-06-17,DUS,GRU,0,1,2,0,6,9792.201153763068
009c2d,2017-06-26,2017-07-03,HAM,MUC,0,1,1,0,7,614.6902477291612
009c37,2017-07-23,2017-07-28,BER,DUB,0,1,2,0,5,1316.7951232832588
009cc4,2017-05-06,2017-05-06,HAM,ALC,0,3,1,0,0,1883.121273363029
009cc4,2017-05-06,2017-05-25,HAM,ALC,0,1,1,0,19,1883.121273363029
009cc4,2017-05-06,2017-05-27,HAM,ALC,0,1,1,0,21,1883.121273363029
009db4,2017-09-20,2017-10-19,FRA,MNL,0,2,1,0,29,10275.274159936745
009ec7,2017-05-16,2017-05-18,ORY,ALC,0,1,2,1,2,1185.37020578418
00a0f5,2017-06-21,2017-06-30,PAR,MEX,0,1,1,0,9,9196.384101765727
00a167,2017-05-12,2017-05-13,DUS,TXL,0,1,1,0,1,470.7535522511977
00a19b,2017-05-30,2017-06-13,FRA,BKK,0,1,2,1,14,8966.898802410986
00a1a0,2017-06-19,2017-06-26,FRA,EDI,0,1,2,0,7,1031.6874754784264
00a387,2017-08-25,2017-10-13,STR,AYT,0,1,1,0,49,2189.8235531182695
00ab49,2017-08-24,2017-10-18,FRA,SGN,0,1,2,1,55,9645.90244631071
